Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score
40,Female,116882,Associate's Degree,Single,0,Rented,High
25,Male,69706,Bachelor's Degree,Married,1,Owned,Average
35,Male,123447,Master's Degree,Single,0,Owned,High
35,Male,78950,Associate's Degree,Single,0,Rented,Average
53,Male,138585,Associate's Degree,Single,0,Rented,High
40,Male,94495,High School Diploma,Married,3,Rented,Average
50,Female,166043,Master's Degree,Married,1,Owned,High
30,Female,30857,High School Diploma,Married,3,Rented,Low
30,Female,98273,Master's Degree,Married,1,Rented,Average
25,Female,34488,High School Diploma,Married,0,Owned,Low
30,Male,157088,Master's Degree,Married,2,Owned,High
40,Male,156448,Master's Degree,Single,0,Owned,High
40,Male,53402,Associate's Degree,Married,3,Rented,Average
25,Male,61725,Associate's Degree,Married,1,Rented,Average
30,Female,62851,High School Diploma,Married,3,Owned,Average
53,Female,127637,Bachelor's Degree,Married,2,Rented,High
35,Male,153426,Master's Degree,Single,0,Owned,High
50,Female,99929,Bachelor's Degree,Single,0,Rented,Average
45,Female,140506,Doctorate,Single,0,Owned,High
30,Male,67436,High School Diploma,Married,3,Owned,Average
25,Female,65052,Associate's Degree,Married,3,Owned,Average
45,Female,36501,High School Diploma,Married,2,Rented,Low
35,Female,110314,Master's Degree,Single,0,Owned,High
25,Female,148178,Doctorate,Married,1,Owned,High
35,Male,144682,Bachelor's Degree,Single,0,Owned,High
45,Male,86984,Bachelor's Degree,Single,0,Rented,Average
35,Male,59933,High School Diploma,Single,0,Owned,Average
35,Female,64746,High School Diploma,Married,2,Owned,Average
40,Female,32994,High School Diploma,Single,0,Owned,Low
35,Male,65523,High School Diploma,Single,0,Owned,Average
50,Male,130993,Master's Degree,Single,0,Owned,High
53,Male,136221,Associate's Degree,Single,0,Owned,High
53,Female,113060,Associate's Degree,Married,1,Owned,High
40,Female,147471,Master's Degree,Single,0,Owned,High
30,Male,64317,Bachelor's Degree,Single,0,Rented,Average
25,Male,170544,Doctorate,Married,3,Owned,High
30,Male,93747,Master's Degree,Single,0,Owned,Average
35,Male,109482,Bachelor's Degree,Single,0,Rented,High
45,Female,203708,Master's Degree,Single,0,Rented,High
35,Male,159298,Master's Degree,Married,0,Rented,High
53,Male,135618,Associate's Degree,Married,2,Owned,High
40,Male,97134,Bachelor's Degree,Married,3,Owned,Average
30,Male,80582,Bachelor's Degree,Married,3,Owned,Average
35,Male,83603,Bachelor's Degree,Single,0,Owned,Average
45,Female,85403,High School Diploma,Single,0,Owned,Average
30,Female,64455,Associate's Degree,Married,1,Owned,Average
35,Female,69234,Associate's Degree,Single,0,Owned,Average
30,Male,44318,Associate's Degree,Single,0,Rented,Low
45,Male,136793,Bachelor's Degree,Married,2,Rented,High
25,Male,120553,Doctorate,Married,1,Owned,High
30,Male,52511,Associate's Degree,Married,3,Rented,Average
30,Male,42633,High School Diploma,Single,0,Rented,Low
50,Male,182489,Bachelor's Degree,Married,2,Owned,High
45,Male,149076,Master's Degree,Married,1,Owned,High
25,Male,119955,Master's Degree,Married,0,Owned,High
45,Male,103945,High School Diploma,Married,0,Rented,High
50,Male,217331,Doctorate,Married,3,Rented,High
40,Male,108936,Bachelor's Degree,Single,0,Rented,High
35,Female,110422,Doctorate,Married,3,Owned,High
25,Female,114741,Bachelor's Degree,Married,1,Rented,High
45,Male,67413,High School Diploma,Single,0,Rented,Average
25,Male,98584,Master's Degree,Single,0,Owned,Average
40,Male,184060,Master's Degree,Single,0,Rented,High
45,Female,147501,Bachelor's Degree,Married,2,Rented,High
40,Male,56064,High School Diploma,Married,3,Owned,Average
30,Female,93751,Bachelor's Degree,Married,1,Owned,Average
50,Female,254248,Doctorate,Married,0,Owned,High
45,Male,113590,Associate's Degree,Married,1,Rented,High
45,Male,207473,Master's Degree,Married,0,Owned,High
35,Male,122655,Bachelor's Degree,Married,1,Rented,High
53,Female,141887,Master's Degree,Married,3,Owned,High
53,Male,203397,Doctorate,Single,0,Owned,High
53,Female,184174,Bachelor's Degree,Married,1,Rented,High
35,Male,103096,Associate's Degree,Single,0,Owned,High
35,Male,142485,Master's Degree,Married,2,Owned,High
30,Female,94738,Master's Degree,Married,2,Owned,Average
45,Male,116140,Bachelor's Degree,Married,3,Owned,High
25,Female,67413,Associate's Degree,Married,3,Owned,Average
35,Male,130609,Master's Degree,Married,0,Owned,High
35,Male,86936,Associate's Degree,Married,0,Owned,Average
30,Male,87787,Associate's Degree,Married,1,Owned,Average
45,Female,85627,Associate's Degree,Married,2,Owned,Average
30,Female,131938,Bachelor's Degree,Single,0,Rented,High
30,Male,181988,Doctorate,Single,0,Owned,High
35,Female,103850,Associate's Degree,Married,2,Rented,High
35,Male,97391,Bachelor's Degree,Married,3,Rented,Average
35,Female,136206,Doctorate,Single,0,Owned,High
35,Female,104118,Master's Degree,Single,0,Rented,High
45,Male,75958,Associate's Degree,Married,0,Owned,Average
40,Female,100392,Associate's Degree,Single,0,Rented,High
53,Male,84500,Associate's Degree,Single,0,Owned,Average
50,Male,211495,Master's Degree,Married,1,Rented,High
45,Female,111576,Bachelor's Degree,Married,2,Rented,High
25,Female,88508,Bachelor's Degree,Single,0,Rented,Average
30,Male,79640,Associate's Degree,Single,0,Owned,Average
40,Male,160521,Master's Degree,Single,0,Owned,High
30,Male,121848,Bachelor's Degree,Married,3,Owned,High
30,Female,137391,Bachelor's Degree,Married,1,Rented,High
30,Male,85733,Bachelor's Degree,Married,1,Owned,Average
30,Female,62267,Bachelor's Degree,Married,3,Rented,Average
25,Female,64547,Bachelor's Degree,Single,0,Owned,Average
40,Male,101401,Bachelor's Degree,Married,0,Owned,High
53,Female,185744,Bachelor's Degree,Single,0,Owned,High
30,Male,108603,Bachelor's Degree,Single,0,Owned,High
30,Male,101021,Doctorate,Married,1,Owned,High
50,Male,168660,Bachelor's Degree,Single,0,Rented,High
50,Female,169467,Bachelor's Degree,Single,0,Rented,High
53,Male,54231,High School Diploma,Single,0,Owned,Average
35,Female,83797,Associate's Degree,Single,0,Owned,Average
30,Female,47210,High School Diploma,Married,0,Owned,Low
45,Female,64933,High School Diploma,Married,2,Owned,Average
30,Male,57926,Associate's Degree,Married,1,Owned,Average
30,Female,85986,Bachelor's Degree,Married,1,Owned,Average
30,Female,115469,Doctorate,Married,2,Owned,High
30,Male,117615,Doctorate,Married,3,Owned,High
35,Female,108153,Master's Degree,Single,0,Owned,High
45,Male,167074,Bachelor's Degree,Single,0,Owned,High
50,Female,181568,Master's Degree,Single,0,Owned,High
40,Male,87519,Bachelor's Degree,Single,0,Owned,Average
45,Male,187709,Doctorate,Single,0,Owned,High
45,Male,217084,Doctorate,Single,0,Owned,High
50,Female,138570,Bachelor's Degree,Married,2,Rented,High
30,Female,103242,Bachelor's Degree,Single,0,Owned,High
30,Male,189125,Doctorate,Single,0,Rented,High
45,Male,48958,High School Diploma,Single,0,Owned,Low
35,Female,105419,Bachelor's Degree,Single,0,Owned,High
50,Female,161177,Bachelor's Degree,Married,3,Owned,High
50,Female,39669,High School Diploma,Single,0,Rented,Low
53,Female,160178,Master's Degree,Married,3,Owned,High
40,Female,100944,Bachelor's Degree,Single,0,Owned,High
30,Male,122807,Bachelor's Degree,Married,0,Owned,High
25,Male,93289,Bachelor's Degree,Married,2,Owned,Average
45,Female,71850,Associate's Degree,Married,1,Rented,Average
45,Male,80384,High School Diploma,Married,0,Rented,Average
35,Female,101793,Master's Degree,Married,0,Owned,High
25,Male,73927,Bachelor's Degree,Married,2,Owned,Average
45,Male,45030,High School Diploma,Single,0,Owned,Low
50,Female,90722,High School Diploma,Married,0,Rented,Average
35,Male,115806,Bachelor's Degree,Married,1,Rented,High
50,Male,151700,Master's Degree,Married,1,Owned,High
35,Male,43115,High School Diploma,Married,0,Owned,Low
30,Male,33586,High School Diploma,Married,1,Owned,Low
40,Female,54938,Associate's Degree,Single,0,Owned,Average
30,Male,96871,Bachelor's Degree,Married,2,Rented,Average
40,Female,161812,Master's Degree,Married,2,Owned,High
50,Male,168469,Master's Degree,Single,0,Rented,High
40,Male,64958,High School Diploma,Married,2,Owned,Average
30,Male,122932,Master's Degree,Married,0,Owned,High
40,Male,171322,Master's Degree,Married,1,Rented,High
45,Male,57781,Associate's Degree,Single,0,Owned,Average
50,Male,135312,Doctorate,Married,0,Rented,High
45,Male,183110,Master's Degree,Married,1,Owned,High
40,Male,78498,High School Diploma,Single,0,Owned,Average
25,Male,95279,Bachelor's Degree,Married,3,Owned,Average
45,Female,189249,Master's Degree,Single,0,Owned,High
40,Female,123773,Master's Degree,Single,0,Rented,High
45,Male,98941,High School Diploma,Married,2,Rented,Average
25,Female,106331,Doctorate,Married,3,Owned,High
50,Male,44967,High School Diploma,Married,1,Owned,Low
50,Female,93875,Associate's Degree,Married,3,Owned,Average
35,Male,149755,Bachelor's Degree,Married,1,Rented,High
50,Female,121750,Master's Degree,Married,3,Rented,High
45,Male,83581,High School Diploma,Single,0,Owned,Average
30,Male,129696,Doctorate,Married,2,Rented,High
35,Male,171510,Master's Degree,Married,3,Rented,High
45,Female,230165,Doctorate,Married,3,Owned,High
30,Female,65527,Associate's Degree,Married,0,Rented,Average
30,Male,117227,Doctorate,Single,0,Owned,High
35,Male,139761,Master's Degree,Single,0,Owned,High
25,Male,95708,Doctorate,Single,0,Owned,Average
30,Male,63854,Associate's Degree,Single,0,Owned,Average
35,Female,128510,Bachelor's Degree,Married,3,Owned,High
53,Female,149106,Bachelor's Degree,Married,3,Owned,High
35,Female,113501,Bachelor's Degree,Single,0,Owned,High
50,Female,211961,Master's Degree,Single,0,Owned,High
30,Female,111614,Doctorate,Married,3,Rented,High
45,Male,80594,High School Diploma,Married,3,Owned,Average
25,Female,65477,Bachelor's Degree,Single,0,Rented,Average
35,Male,72615,High School Diploma,Married,3,Owned,Average
35,Male,120003,Master's Degree,Single,0,Owned,High
53,Female,72316,Associate's Degree,Married,0,Owned,Average
25,Female,41349,High School Diploma,Single,0,Owned,Low
50,Female,95528,Bachelor's Degree,Single,0,Owned,Average
45,Female,127362,Bachelor's Degree,Married,3,Rented,High
35,Female,128449,Bachelor's Degree,Married,3,Owned,High
45,Male,205535,Doctorate,Single,0,Owned,High
40,Female,79574,Associate's Degree,Married,0,Owned,Average
53,Female,176619,Master's Degree,Single,0,Rented,High
25,Female,51909,Associate's Degree,Married,3,Owned,Average
30,Male,51501,Associate's Degree,Married,0,Owned,Average
30,Male,158910,Master's Degree,Married,3,Rented,High
35,Female,92780,Bachelor's Degree,Married,2,Owned,Average
25,Female,92582,Bachelor's Degree,Married,0,Owned,Average
35,Female,136375,Master's Degree,Single,0,Owned,High
25,Female,128188,Master's Degree,Married,1,Owned,High
45,Male,173904,Bachelor's Degree,Married,2,Owned,High
30,Female,88675,Master's Degree,Married,2,Rented,Average
35,Female,132305,Bachelor's Degree,Single,0,Rented,High
30,Female,62717,Associate's Degree,Married,2,Owned,Average
25,Male,113117,Master's Degree,Single,0,Owned,High
35,Male,182092,Doctorate,Single,0,Rented,High
25,Female,148953,Master's Degree,Married,0,Rented,High
40,Female,46933,High School Diploma,Married,3,Rented,Low
30,Female,107948,Master's Degree,Married,0,Rented,High
53,Female,71628,High School Diploma,Married,2,Owned,Average
30,Female,185477,Doctorate,Married,3,Rented,High
45,Male,130558,Bachelor's Degree,Married,1,Owned,High
53,Female,131325,Master's Degree,Married,2,Owned,High
25,Male,88213,Bachelor's Degree,Married,2,Rented,Average
45,Female,170055,Bachelor's Degree,Single,0,Owned,High
30,Female,147006,Doctorate,Single,0,Owned,High
30,Male,117827,Master's Degree,Married,0,Owned,High
30,Male,114799,Bachelor's Degree,Married,3,Rented,High
30,Female,73164,Bachelor's Degree,Married,1,Rented,Average
35,Female,117340,Master's Degree,Single,0,Owned,High
50,Male,165544,Bachelor's Degree,Single,0,Rented,High
25,Female,82122,Master's Degree,Married,1,Rented,Average
25,Male,88011,Associate's Degree,Married,2,Rented,Average
25,Female,157279,Doctorate,Married,3,Owned,High
35,Male,76194,High School Diploma,Single,0,Rented,Average
30,Female,104912,Master's Degree,Married,3,Owned,High
45,Female,94633,High School Diploma,Married,0,Owned,Average
35,Male,147688,Master's Degree,Single,0,Owned,High
30,Male,89735,Bachelor's Degree,Single,0,Owned,Average
30,Female,67011,High School Diploma,Single,0,Owned,Average
30,Male,65732,Associate's Degree,Married,0,Owned,Average
25,Female,47052,High School Diploma,Married,2,Owned,Low
30,Male,88092,Associate's Degree,Married,2,Owned,Average
40,Male,45226,High School Diploma,Single,0,Owned,Low
45,Female,93306,Bachelor's Degree,Married,2,Owned,Average
30,Male,84967,Bachelor's Degree,Married,2,Rented,Average
40,Female,94608,Associate's Degree,Single,0,Owned,Average
40,Female,99488,Bachelor's Degree,Married,0,Owned,Average
35,Female,209021,Doctorate,Single,0,Owned,High
50,Female,112109,Bachelor's Degree,Married,2,Rented,High
30,Male,49756,Associate's Degree,Married,1,Owned,Low
40,Female,135913,Bachelor's Degree,Married,3,Owned,High
45,Male,146308,Doctorate,Married,1,Owned,High
30,Female,78121,Associate's Degree,Married,1,Owned,Average
35,Male,87625,Associate's Degree,Married,0,Owned,Average
40,Female,69825,High School Diploma,Married,1,Rented,Average
45,Female,95478,High School Diploma,Married,0,Owned,Average
25,Female,116724,Bachelor's Degree,Married,0,Owned,High
25,Male,106036,Master's Degree,Married,0,Rented,High
35,Female,56635,High School Diploma,Married,1,Rented,Average
45,Female,136874,Bachelor's Degree,Married,0,Owned,High
35,Male,136845,Master's Degree,Married,0,Owned,High
45,Female,184328,Master's Degree,Married,3,Owned,High
30,Male,118807,Master's Degree,Married,1,Owned,High
25,Female,69284,Associate's Degree,Married,3,Owned,Average
40,Female,78266,Associate's Degree,Single,0,Owned,Average
53,Male,126262,Master's Degree,Single,0,Rented,High
30,Female,155063,Master's Degree,Single,0,Owned,High
50,Female,198688,Master's Degree,Married,1,Rented,High
50,Female,215497,Doctorate,Married,3,Owned,High
50,Female,60514,High School Diploma,Married,3,Owned,Average
53,Male,100397,Bachelor's Degree,Single,0,Rented,High
53,Female,61061,High School Diploma,Married,0,Owned,Average
30,Female,91829,Bachelor's Degree,Married,0,Owned,Average
40,Male,149003,Bachelor's Degree,Married,3,Owned,High
45,Female,193656,Doctorate,Married,0,Rented,High
35,Male,57743,High School Diploma,Single,0,Rented,Average
40,Male,78827,Bachelor's Degree,Single,0,Owned,Average
45,Male,67098,High School Diploma,Married,2,Rented,Average
40,Female,76385,Associate's Degree,Married,2,Owned,Average
35,Male,126993,Bachelor's Degree,Single,0,Owned,High
40,Male,36766,High School Diploma,Single,0,Rented,Low
53,Female,162995,Master's Degree,Married,1,Owned,High
50,Female,93433,Associate's Degree,Married,3,Rented,Average
35,Male,79109,Bachelor's Degree,Single,0,Owned,Average
35,Male,98869,Master's Degree,Single,0,Owned,Average
25,Female,120613,Master's Degree,Single,0,Rented,High
40,Female,86965,Bachelor's Degree,Single,0,Rented,Average
35,Male,158328,Doctorate,Single,0,Owned,High
35,Male,154288,Master's Degree,Single,0,Owned,High
30,Female,100942,Bachelor's Degree,Single,0,Rented,High
35,Female,130475,Bachelor's Degree,Single,0,Owned,High
45,Female,67051,Associate's Degree,Single,0,Owned,Average
30,Male,119648,Bachelor's Degree,Single,0,Rented,High
35,Male,61970,High School Diploma,Married,3,Rented,Average
25,Male,86058,Associate's Degree,Single,0,Owned,Average
25,Female,86580,Bachelor's Degree,Single,0,Owned,Average
35,Female,84696,Bachelor's Degree,Single,0,Rented,Average
25,Female,58553,High School Diploma,Married,3,Rented,Average
35,Female,114623,Doctorate,Married,0,Rented,High
35,Female,162166,Master's Degree,Married,1,Owned,High
50,Male,66974,Associate's Degree,Single,0,Owned,Average
30,Female,78108,Associate's Degree,Married,1,Rented,Average
30,Female,155080,Doctorate,Married,1,Owned,High
45,Female,111061,Associate's Degree,Married,3,Rented,High
35,Female,115054,Bachelor's Degree,Single,0,Owned,High
40,Female,73588,High School Diploma,Married,1,Owned,Average
45,Male,90500,Associate's Degree,Single,0,Rented,Average
40,Male,55610,Associate's Degree,Single,0,Owned,Average
25,Female,90415,Master's Degree,Married,1,Rented,Average
40,Male,161853,Bachelor's Degree,Married,0,Owned,High
30,Female,130365,Bachelor's Degree,Married,1,Owned,High
30,Female,45933,High School Diploma,Married,1,Owned,Low
40,Male,155433,Master's Degree,Married,1,Rented,High
53,Male,121461,Bachelor's Degree,Single,0,Owned,High
25,Male,41000,High School Diploma,Single,0,Owned,Low
45,Male,124613,Associate's Degree,Single,0,Rented,High
30,Female,111401,Master's Degree,Married,2,Rented,High
25,Male,63801,High School Diploma,Married,2,Rented,Average
35,Male,50151,High School Diploma,Single,0,Rented,Average
50,Female,237855,Doctorate,Married,0,Owned,High
50,Female,187269,Doctorate,Married,1,Owned,High
35,Male,126727,Doctorate,Married,1,Owned,High
50,Male,96196,Bachelor's Degree,Married,1,Rented,Average
45,Female,181638,Master's Degree,Married,0,Owned,High
25,Male,65225,High School Diploma,Single,0,Owned,Average
25,Female,59613,Associate's Degree,Married,2,Owned,Average
30,Male,142055,Doctorate,Married,1,Rented,High
45,Male,124580,Bachelor's Degree,Single,0,Owned,High
25,Female,135348,Master's Degree,Married,1,Rented,High
45,Female,142013,Bachelor's Degree,Single,0,Owned,High
50,Female,178593,Bachelor's Degree,Married,0,Rented,High
30,Female,98847,Bachelor's Degree,Single,0,Owned,Average
45,Male,144146,Bachelor's Degree,Married,3,Rented,High
40,Female,91934,High School Diploma,Single,0,Owned,Average
25,Female,129486,Master's Degree,Married,2,Owned,High
30,Male,95857,Master's Degree,Single,0,Owned,Average
30,Male,76488,Bachelor's Degree,Married,0,Owned,Average
35,Female,100484,Master's Degree,Single,0,Owned,High
35,Male,123182,Bachelor's Degree,Single,0,Owned,High
25,Female,122634,Master's Degree,Single,0,Owned,High
40,Female,78233,High School Diploma,Married,1,Owned,Average
40,Female,119545,Doctorate,Married,2,Owned,High
30,Female,96525,Associate's Degree,Single,0,Rented,Average
25,Male,115324,Bachelor's Degree,Single,0,Owned,High
30,Male,70794,Bachelor's Degree,Married,1,Rented,Average
25,Female,53922,Associate's Degree,Single,0,Owned,Average
50,Male,222955,Master's Degree,Single,0,Owned,High
53,Female,107428,Associate's Degree,Married,0,Owned,High
40,Male,128868,Doctorate,Single,0,Rented,High
25,Female,103486,Master's Degree,Married,1,Rented,High
50,Male,84191,High School Diploma,Married,0,Rented,Average
50,Female,183336,Master's Degree,Single,0,Owned,High
40,Male,57457,High School Diploma,Single,0,Owned,Average
45,Female,103988,Associate's Degree,Single,0,Owned,High
50,Female,152070,Master's Degree,Single,0,Owned,High
25,Female,130603,Master's Degree,Single,0,Owned,High
50,Female,140580,Bachelor's Degree,Married,0,Owned,High
40,Male,136994,Master's Degree,Single,0,Rented,High
35,Female,118490,Bachelor's Degree,Single,0,Rented,High
30,Female,107473,Master's Degree,Single,0,Owned,High
50,Male,85770,Associate's Degree,Single,0,Owned,Average
35,Male,132546,Master's Degree,Single,0,Rented,High
45,Female,157950,Master's Degree,Single,0,Rented,High
25,Male,32284,High School Diploma,Married,2,Owned,Low
53,Male,112734,Bachelor's Degree,Married,2,Rented,High
35,Female,94352,Associate's Degree,Married,1,Rented,Average
45,Male,61452,High School Diploma,Married,0,Rented,Average
50,Male,126048,Master's Degree,Married,3,Owned,High
40,Female,141425,Bachelor's Degree,Single,0,Owned,High
40,Male,89441,Associate's Degree,Single,0,Owned,Average
45,Female,174571,Master's Degree,Single,0,Rented,High
53,Male,89941,Associate's Degree,Married,1,Rented,Average
25,Male,119411,Bachelor's Degree,Single,0,Owned,High
30,Male,57914,High School Diploma,Married,1,Owned,Average
30,Male,49642,Associate's Degree,Married,2,Owned,Low
25,Female,94046,Master's Degree,Married,0,Owned,Average
35,Male,41894,High School Diploma,Married,1,Owned,Low
40,Male,162624,Master's Degree,Married,0,Rented,High
45,Male,220840,Doctorate,Single,0,Rented,High
40,Female,96736,Associate's Degree,Married,3,Owned,Average
40,Female,57164,Associate's Degree,Married,2,Owned,Average
45,Female,139423,Master's Degree,Married,3,Rented,High
50,Male,159545,Master's Degree,Married,0,Rented,High
25,Female,50186,Associate's Degree,Married,2,Owned,Average
30,Female,97190,Bachelor's Degree,Single,0,Owned,Average
40,Female,191888,Master's Degree,Married,0,Owned,High
25,Male,165880,Doctorate,Married,3,Rented,High
45,Female,130152,Bachelor's Degree,Single,0,Owned,High
35,Male,135498,Doctorate,Married,1,Owned,High
35,Male,83497,Associate's Degree,Married,0,Owned,Average
30,Female,73630,High School Diploma,Single,0,Owned,Average
25,Male,105561,Bachelor's Degree,Married,1,Rented,High
45,Male,61493,High School Diploma,Single,0,Rented,Average
25,Female,97399,Bachelor's Degree,Married,0,Owned,Average
25,Male,102798,Doctorate,Single,0,Owned,High
35,Female,57028,Associate's Degree,Married,3,Owned,Average
35,Male,94963,Bachelor's Degree,Married,1,Rented,Average
25,Male,60069,Bachelor's Degree,Single,0,Owned,Average
45,Female,149029,Master's Degree,Married,0,Rented,High
35,Female,79215,High School Diploma,Single,0,Rented,Average
50,Female,180218,Bachelor's Degree,Married,3,Owned,High
30,Male,57318,High School Diploma,Married,0,Rented,Average
25,Female,84398,Associate's Degree,Single,0,Owned,Average
30,Male,55034,Associate's Degree,Married,1,Rented,Average
40,Female,212905,Doctorate,Married,0,Rented,High
40,Male,124610,Master's Degree,Married,0,Owned,High
45,Female,75249,High School Diploma,Married,1,Rented,Average
30,Female,52169,High School Diploma,Single,0,Owned,Average
35,Female,43320,High School Diploma,Married,1,Owned,Low
53,Female,256512,Doctorate,Single,0,Owned,High
30,Male,60559,Bachelor's Degree,Married,0,Owned,Average
25,Female,107824,Master's Degree,Married,3,Owned,High
30,Female,93151,Master's Degree,Single,0,Owned,Average
45,Female,120709,Associate's Degree,Married,3,Owned,High
30,Male,31520,High School Diploma,Single,0,Owned,Low
30,Female,32807,High School Diploma,Married,3,Owned,Low
45,Male,171991,Doctorate,Married,0,Rented,High
45,Female,101603,Associate's Degree,Married,2,Rented,High
40,Male,126555,Doctorate,Married,0,Owned,High
25,Female,83091,Bachelor's Degree,Married,1,Owned,Average
40,Male,113351,Bachelor's Degree,Married,0,Owned,High
25,Male,68874,High School Diploma,Single,0,Rented,Average
30,Male,122823,Doctorate,Married,1,Owned,High
35,Male,148463,Master's Degree,Married,1,Owned,High
35,Female,67382,Bachelor's Degree,Married,3,Owned,Average
35,Female,188213,Doctorate,Married,2,Owned,High
35,Male,56333,Associate's Degree,Married,2,Owned,Average
40,Female,147075,Master's Degree,Single,0,Rented,High
50,Male,230789,Doctorate,Single,0,Owned,High
45,Male,93707,Associate's Degree,Married,1,Owned,Average
45,Female,70580,Associate's Degree,Married,3,Rented,Average
35,Male,177345,Master's Degree,Married,0,Rented,High
45,Male,155273,Bachelor's Degree,Single,0,Rented,High
30,Male,123767,Master's Degree,Single,0,Owned,High
25,Male,114722,Master's Degree,Married,2,Rented,High
30,Female,94788,Master's Degree,Single,0,Owned,Average
53,Female,208246,Master's Degree,Single,0,Owned,High
25,Female,133840,Doctorate,Married,3,Owned,High
35,Female,55266,High School Diploma,Single,0,Owned,Average
35,Male,121244,Bachelor's Degree,Married,0,Rented,High
30,Female,99019,Bachelor's Degree,Married,0,Owned,Average
50,Female,125331,Associate's Degree,Married,0,Rented,High
25,Male,77922,Associate's Degree,Single,0,Rented,Average
30,Female,143524,Doctorate,Married,1,Rented,High
35,Female,129708,Master's Degree,Married,1,Rented,High
35,Male,171348,Master's Degree,Single,0,Owned,High
30,Male,92813,Bachelor's Degree,Married,1,Rented,Average
35,Female,110884,Bachelor's Degree,Single,0,Owned,High
30,Male,152379,Doctorate,Married,3,Rented,High
30,Female,55724,High School Diploma,Married,3,Rented,Average
45,Female,92533,High School Diploma,Married,1,Rented,Average
53,Male,97178,Associate's Degree,Married,2,Owned,Average
40,Female,128613,Bachelor's Degree,Single,0,Owned,High
